Order,Sample Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,DNA_DOE,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,7.035100979,1.08E+07,9.131285965,1.35E+09,7.836950955,6.87E+07,8.501381785,3.17E+08,9.24027404,1.74E+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,6.992009383,9.82E+06,9.209540434,1.62E+09,7.792192016,6.20E+07,8.601715664,4.00E+08,9.31842843,2.08E+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3
3,3b,1.290025726,4.072913701,Corn,0N,Nitrogen,5,5.092958633,1.24E+05,7.189938666,1.55E+07,6.042093176,1.10E+06,6.628291256,4.25E+06,7.318831001,2.08E+07,0,0,0,85543364.18,0,0,0
4,4b,0.722859243,0.157376882,Corn,100N,Control,5,6.809178219,6.44E+06,8.513104154,3.26E+08,7.740506774,5.50E+07,8.022075389,1.05E+08,8.686768105,4.86E+08,0,0,0,1134617535,4556112.637,17923848.65,0
5,5b,0.54492466,0.037770452,Corn,100N,Carbon,5,7.212897105,1.63E+07,9.11768133,1.31E+09,8.079405818,1.20E+08,8.53662941,3.44E+08,9.249285376,1.78E+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0
6,6b,1.134332966,3.827405766,Corn,100N,Nitrogen,5,7.323188318,2.10E+07,9.198200385,1.58E+09,8.110460869,1.29E+08,8.604798691,4.03E+08,9.324247771,2.11E+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,6.55542645,3.59E+06,9.059855864,1.15E+09,7.510108875,3.24E+07,8.480072528,3.02E+08,9.170902625,1.48E+09,0,0,14685652.06,973758466.6,0,0,0
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,6.703380767,5.05E+06,9.095676427,1.25E+09,7.682336561,4.81E+07,8.546699954,3.52E+08,9.216615333,1.65E+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333
9,9b,0.667254686,3.676323959,Corn,0N,Nitrogen,5,6.980621687,9.56E+06,9.380460191,2.40E+09,7.974519254,9.43E+07,8.837528971,6.88E+08,9.502916256,3.18E+09,0,0,7087155.43,3740663530,6876092.241,9489222.476,11152043.85
10,10b,0.589408306,0.566556775,Corn,100N,Control,5,7.129821434,1.35E+07,9.227357268,1.69E+09,7.974107626,9.42E+07,8.777986348,6.00E+08,9.376928183,2.38E+09,0,21634976.97,25466701.84,3258254468,7816256.489,0,12182733.35
11,11b,0.656133774,0.151081807,Corn,100N,Carbon,5,7.08737806,1.22E+07,9.179411978,1.51E+09,7.930427394,8.52E+07,8.754642071,5.68E+08,9.335477001,2.17E+09,11470936.16,44244948.95,11112185.58,3524405538,6382269.619,19980912,14007340.31
12,12b,0.93415656,3.764455013,Corn,100N,Nitrogen,5,7.062687508,1.16E+07,9.12855671,1.34E+09,7.938071658,8.67E+07,8.68632003,4.86E+08,9.282586781,1.92E+09,10803210.88,0,10308275.58,3153186739,10096017.32,0,9009412.433
