"sample","Temp_C_Avg.1_T0","TIMESTAMP_T0","CO2_calc_T0","delta13C_calc_T0","time_T0","date_T0","doe_T0","sampling_id_T0","event_id_T0","event","crop_T0","fert_T0","addition_T0","dry_weight_g_T0","unique_soil_T0","CO2C_ug_g_T0","Temp_C_Avg.1_T1","TIMESTAMP_T1","CO2_calc_T1","delta13C_calc_T1","time_T1","date_T1","doe_T1","sampling_id_T1","event_id_T1","crop_T1","fert_T1","addition_T1","dry_weight_g_T1","unique_soil_T1","CO2C_ug_g_T1","CO2_flux_ug_g","sample_date","time_dif","CO2_flux_ug_g_d","diff.day","CO2_flux_ug_g_int","cum_CO2_flux_ug_g","atom_percent13C_calc_T1","atom_percent13C_calc_T0","soil_atom_percent13C","soil_Rsample","soil_delta13C","pglu","psoil","CO2_flux_ug_g_d_glu","CO2_flux_ug_g_int_glu","cum_CO2_flux_ug_g_glu","cum_pglu","CO2_flux_ug_g_d_soil","cum_CO2_flux_ug_g_soil","cum_psoil"
1,22.14827,"1/16/21 11:32",513.302638185664,13.2366953236314,2021-01-16 11:32:00,2021-01-16,4,3,1.5,2,"Corn","0N","Cntrl",9.63592361,1,12.28236361463,21.93664,"1/17/21 12:15",1703.50679746355,-1.99614554812355,2021-01-17 12:15:00,2021-01-17,5,4,2,"Corn","0N","Cntrl",9.63592361,1,40.7909368736182,28.5085732589882,"1 2021-01-16",24.7166666666667,27.6819591995569,5,138.409795997785,138.409795997785,1.10348557664631,1.12013975424435,1.09631044855051,0.0110846264029434,-8.55733719637552,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,22.12178,"1/16/21 11:34",469.087722164855,206.075570528728,2021-01-16 11:34:00,2021-01-16,4,3,1.5,2,"Corn","0N","+C",9.63592361,1,11.2253910844044,21.90666,"1/17/21 12:16",1895.43580437137,19246.087803172,2021-01-17 12:16:00,2021-01-17,5,4,2,"Corn","0N","+C",9.63592361,1,45.3913411521895,34.1659500677851,"2 2021-01-16",24.7,33.1976842763904,5,165.988421381952,165.988421381952,18.4576981699895,1.33048798862711,24.0849273876505,0.317261468096554,27376.829610704,23.4855004246165,76.5144995753835,7.79664228169451,38.9832114084725,38.9832114084725,23.4855004246165,25.4010419946959,127.005209973479,76.5144995753835
3,22.09837,"1/16/21 11:36",488.45538500717,-6.12284001831187,2021-01-16 11:36:00,2021-01-16,4,3,1.5,2,"Corn","0N","+N",9.63592361,1,11.6897910893501,21.90333,"1/17/21 12:17",1945.35585321356,38.1639234285791,2021-01-17 12:17:00,2021-01-17,5,4,2,"Corn","0N","+N",9.63592361,1,46.5873376351096,34.8975465457595,"3 2021-01-16",24.6833333333333,33.9314429614407,5,169.657214807204,169.657214807204,1.14738078081623,1.09897286524343,1.16359620213174,0.0117729516394731,53.0085632293531,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,22.13645,"1/16/21 11:38",459.517890358169,-6.680667881938,2021-01-16 11:38:00,2021-01-16,4,3,1.5,2,"Corn","112N","Cntrl",10.48985991,2,10.1007104684026,21.8833,"1/17/21 12:18",1690.63518144333,0.799656908896162,2021-01-17 12:18:00,2021-01-17,5,4,2,"Corn","112N","Cntrl",10.48985991,2,37.1939139530768,27.0932034846742,"4 2021-01-16",24.6666666666667,26.3609547418452,5,131.804773709226,131.804773709226,1.10654266847881,1.09836282576172,1.10959222380397,0.0112204231811355,3.58873922304959,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,22.18003,"1/16/21 11:39",545.032970770796,5762.26489170037,2021-01-16 11:39:00,2021-01-16,4,3,1.5,2,"Corn","112N","+C",10.48985991,2,11.9786584552381,21.86844,"1/17/21 12:19",1800.00596468496,25781.0871575978,2021-01-17 12:19:00,2021-01-17,5,4,2,"Corn","112N","+C",10.48985991,2,39.6020619451727,27.6234034899345,"5 2021-01-16",24.6666666666667,26.8768250172336,5,134.384125086168,134.384125086168,23.0426230999282,7.02899390605933,29.9867997945952,0.428302087415229,37308.6399663004,29.5133770324635,70.4866229675365,7.93225870169161,39.6612935084581,39.6612935084581,29.5133770324635,18.944566315542,94.7228315777099,70.4866229675365
6,22.13721,"1/16/21 11:41",462.784320830832,3.11948751406632,2021-01-16 11:41:00,2021-01-16,4,3,1.5,2,"Corn","112N","+N",10.48985991,2,10.1724840341828,21.87986,"1/17/21 12:20",1541.41789207566,56.1128746350705,2021-01-17 12:20:00,2021-01-17,5,4,2,"Corn","112N","+N",10.48985991,2,33.9115342844095,23.7390502502267,"6 2021-01-16",24.65,23.1130712375432,5,115.565356187716,115.565356187716,1.16698649885787,1.10907916173437,1.1918005270579,0.0120617573583482,78.840224175398,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,22.19743,"1/16/21 11:42",457.864325580795,5.42432428454154,2021-01-16 11:42:00,2021-01-16,4,3,1.5,2,"Corn","0N","Cntrl",11.09940695,3,9.5096939671175,21.87664,"1/17/21 12:21",1255.6437726825,-3.48784477989617,2021-01-17 12:21:00,2021-01-17,5,4,2,"Corn","0N","Cntrl",11.09940695,3,26.1076717835764,16.5979778164589,"7 2021-01-16",24.65,16.1603029450309,5,80.8015147251547,80.8015147251547,1.10185438925087,1.11159913193895,1.09627120786717,0.0110842252486882,-8.59321765174215,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,22.2327,"1/16/21 11:44",453.068557887869,124.838749355273,2021-01-16 11:44:00,2021-01-16,4,3,1.5,2,"Corn","0N","+C",11.09940695,3,9.4089638170745,21.89453,"1/17/21 12:22",1457.03073774123,17686.1913675425,2021-01-17 12:22:00,2021-01-17,5,4,2,"Corn","0N","+C",11.09940695,3,30.293124988378,20.8841611713035,"8 2021-01-16",24.6333333333333,20.3472206269804,5,101.736103134902,101.736103134902,17.2813506968312,1.24198423020376,24.5075838931475,0.32463636954551,28036.4632027324,23.9171805910061,76.0828194089939,4.86648150260535,24.3324075130268,24.3324075130268,23.9171805910061,15.4807391243751,77.4036956218754,76.0828194089939
9,22.27488,"1/16/21 11:46",460.716885419073,-7.57642357191923,2021-01-16 11:46:00,2021-01-16,4,3,1.5,2,"Corn","0N","+N",11.09940695,3,9.56643207314928,21.93158,"1/17/21 12:23",1127.19166293748,2.0725588203756,2021-01-17 12:23:00,2021-01-17,5,4,2,"Corn","0N","+N",11.09940695,3,23.4324985098433,13.866066436694,"9 2021-01-16",24.6166666666667,13.5187106762623,5,67.5935533813113,67.5935533813113,1.10793447031102,1.09738321331207,1.11521395969091,0.0112779124509235,8.7307541768562,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,22.24732,"1/16/21 11:49",459.972528889389,-5.09421086363326,2021-01-16 11:49:00,2021-01-16,4,3,1.5,2,"Corn","112N","Cntrl",10.17843925,4,10.4161412415316,22.0001,"1/17/21 12:24",1612.76177471676,0.00714699855808298,2021-01-17 12:24:00,2021-01-17,5,4,2,"Corn","112N","Cntrl",10.17843925,4,36.5518028680028,26.1356616264711,"10 2021-01-16",24.5833333333333,25.5154933844871,5,127.577466922435,127.577466922435,1.10567611157881,1.10009775238095,1.10789931825066,0.0112031123882792,2.04040931631133,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,22.20071,"1/16/21 11:50",488.138334346141,2017.07120294912,2021-01-16 11:50:00,2021-01-16,4,3,1.5,2,"Corn","112N","+C",10.17843925,4,11.0557042354703,22.05183,"1/17/21 12:25",1821.40614190181,23455.3893990054,2021-01-17 12:25:00,2021-01-17,5,4,2,"Corn","112N","+C",10.17843925,4,41.2733069611409,30.2176027256706,"11 2021-01-16",24.5833333333333,29.5005748643835,5,147.502874321917,147.502874321917,21.4712265254996,3.26310581113836,28.1330255811442,0.391459718579206,34013.3465630802,27.6200249829779,72.3799750170221,8.14806614766482,40.7403307383241,40.7403307383241,27.6200249829779,21.3525087167186,106.762543583593,72.3799750170221
12,22.19896,"1/16/21 11:52",464.019683344431,-7.8120443518771,2021-01-16 11:52:00,2021-01-16,4,3,1.5,2,"Corn","112N","+N",10.17843925,4,10.5095101412042,22.11426,"1/17/21 12:26",1562.79763493976,59.1853823752013,2021-01-17 12:26:00,2021-01-17,5,4,2,"Corn","112N","+N",10.17843925,4,35.4057158931993,24.8962057519951,"12 2021-01-16",24.5666666666667,24.3219377767116,5,121.609688883558,121.609688883558,1.17034183298049,1.09712553151375,1.20124885031604,0.012158542859475,87.4970134499975,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,22.19258,"1/16/21 12:00",476.852702387746,-3.98701493045395,2021-01-16 12:00:00,2021-01-16,4,3,1.5,2,"Corn","336N","Cntrl",10.86366784,5,10.1191587778766,22.19294,"1/17/21 12:27",1124.60367406222,90.7853441598856,2021-01-17 12:27:00,2021-01-17,5,4,2,"Corn","336N","Cntrl",10.86366784,5,23.8648731812801,13.7457144034036,"13 2021-01-16",24.45,13.492725794752,5,67.4636289737598,67.4636289737598,1.20483737618164,1.10130852989491,1.28105202773925,0.0129767593157416,160.680779204641,NA,NA,NA,NA,NA,NA,NA,NA,NA
