sample,Day,sample_id,Crop,Treatment,Addition,CO2_flux_ug_g_d,cum_CO2_flux_ug_g
1,5,4,Corn,0N,Control,27.6819591995569,138.409795997785
2,5,4,Corn,0N,Carbon,33.1976842763904,165.988421381952
3,5,4,Corn,0N,Nitrogen,33.9314429614407,169.657214807204
4,5,4,Corn,112N,Control,26.3609547418452,131.804773709226
5,5,4,Corn,112N,Carbon,26.8768250172336,134.384125086168
6,5,4,Corn,112N,Nitrogen,23.1130712375432,115.565356187716
7,5,4,Corn,0N,Control,16.1603029450309,80.8015147251547
8,5,4,Corn,0N,Carbon,20.3472206269804,101.736103134902
9,5,4,Corn,0N,Nitrogen,13.5187106762623,67.5935533813113
10,5,4,Corn,112N,Control,25.5154933844871,127.577466922435
11,5,4,Corn,112N,Carbon,29.5005748643835,147.502874321917
12,5,4,Corn,112N,Nitrogen,24.3219377767116,121.609688883558
13,5,4,Corn,336N,Control,13.492725794752,67.4636289737598
14,5,4,Corn,336N,Carbon,23.2196457097231,116.098228548616
15,5,4,Corn,336N,Nitrogen,13.2651393760073,66.3256968800365
16,5,4,Corn,336N,Control,13.4242438544373,67.1212192721864
17,5,4,Corn,336N,Carbon,24.1235523453158,120.617761726579
18,5,4,Corn,336N,Nitrogen,12.0289246393766,60.1446231968831
19,5,4,Corn,112N,Control,15.9179865039646,79.5899325198232
20,5,4,Corn,112N,Carbon,22.2607910809114,111.303955404557
21,5,4,Corn,112N,Nitrogen,10.8918017855033,54.4590089275165
22,5,4,Corn,336N,Control,22.7688726579655,113.844363289828
23,5,4,Corn,336N,Carbon,29.6382958027074,148.191479013537
24,5,4,Corn,336N,Nitrogen,21.6302910741356,108.151455370678
25,5,4,Corn,336N,Control,24.8762466406891,124.381233203446
26,5,4,Corn,336N,Carbon,31.2557096753911,156.278548376955
27,5,4,Corn,336N,Nitrogen,23.6101294274372,118.050647137186
28,5,4,Corn,0N,Control,26.9727571072868,134.863785536434
29,5,4,Corn,0N,Carbon,21.560254671306,107.80127335653
30,5,4,Corn,0N,Nitrogen,23.4509620166079,117.25481008304
31,5,4,Corn,112N,Control,18.7476765875283,93.7383829376415
32,5,4,Corn,112N,Carbon,26.032336600314,130.16168300157
33,5,4,Corn,112N,Nitrogen,15.8713142327823,79.3565711639117
34,5,4,Corn,0N,Control,26.3226235921768,131.613117960884
35,5,4,Corn,0N,Carbon,27.8751188861077,139.375594430538
36,5,4,Corn,0N,Nitrogen,21.3222150365786,106.611075182893
37,5,4,Miscanthus,336N,Control,31.9483836601262,159.741918300631
38,5,4,Miscanthus,336N,Carbon,39.6638838303062,198.319419151531
39,5,4,Miscanthus,336N,Nitrogen,27.0782128413192,135.391064206596
40,5,4,Miscanthus,112N,Control,15.3158948283783,76.5794741418916
41,5,4,Miscanthus,112N,Carbon,34.3454045141208,171.727022570604
42,5,4,Miscanthus,112N,Nitrogen,25.7059084585387,128.529542292694
43,5,4,Miscanthus,336N,Control,10.0432312169891,50.2161560849456
44,5,4,Miscanthus,336N,Carbon,19.504105370452,97.5205268522602
45,5,4,Miscanthus,336N,Nitrogen,7.83729838420303,39.1864919210151
46,5,4,Miscanthus,112N,Control,8.24500913268625,41.2250456634313
47,5,4,Miscanthus,112N,Carbon,18.1676450818888,90.8382254094442
48,5,4,Miscanthus,112N,Nitrogen,7.26796514526848,36.3398257263424
49,5,4,Miscanthus,0N,Control,30.5682679606562,152.841339803281
50,5,4,Miscanthus,0N,Carbon,34.9449562785253,174.724781392626
51,5,4,Miscanthus,0N,Nitrogen,27.275272800298,136.37636400149
52,5,4,Miscanthus,0N,Control,18.7399258343444,93.6996291717219
53,5,4,Miscanthus,0N,Carbon,25.5835880293801,127.917940146901
54,5,4,Miscanthus,0N,Nitrogen,18.1940014438531,90.9700072192657
55,5,4,Miscanthus,336N,Control,27.4710921452418,137.355460726209
56,5,4,Miscanthus,336N,Carbon,37.048844255868,185.24422127934
57,5,4,Miscanthus,336N,Nitrogen,25.3366760276774,126.683380138387
58,5,4,Miscanthus,112N,Control,15.3506427320109,76.7532136600547
