rev_name,initial_name,sample,timepoint,day,k_cl_weight,k_cl_volume_l,moisture_percent,dry_soil,nh4n_mgl_1,no3n_mgl_1,nh4n_mg_kg_1,no3n_mg_kg_1,nh4n_mgl_2,no3n_mgl_2,nh4n_mg_kg_2,no3n_mg_kg_2,crop,treatment,addition,net_n_1,net_n_2,delta,net_mineralization_1,net_mineralization_2
1a,1a,1,a,0,37.788,0.0349888888888889,51.88985987,3.4312151940716,0.498729788866471,0.641965611079476,5.08566212879269,6.54627068432093,0.324386717,0.587823764,3.30784580860876,5.99417384266085,corn,0N,Control,11.6319328131136,9.30201965126961,0,0,0
2a,2a,2,a,0,37.767,0.0349694444444444,51.88985987,3.5943085691123,0.498729788866471,0.452251017198869,4.85219989024561,4.40000253645035,0.241404069,0.325922087,2.34864815227682,3.17093374022106,corn,0N,Carbon,9.25220242669596,5.51958189249788,0,0,0
3a,3h,3,h,0,37.719,0.034925,51.88985987,2.7571921308503,0.490130999403257,1.87878026865815,6.20842666806818,23.7982693148954,0.377193857,2.159233825,4.77786633304455,27.3507386352755,corn,0N,Nitrogen,30.0066959829636,32.1286049683201,0,0,0
4a,4a,4,a,0,37.803,0.0350027777777778,41.89255076,3.8077811486972,0.490130999403257,0.344776659441969,4.50549697688957,3.1693367665158,0.36964998,0.174601118,3.39798312986735,1.60500929398124,corn,112N,Control,7.67483374340537,5.00299242384858,0,0,0
5a,5a,5,a,0,38.04,0.0352222222222222,41.89255076,3.904820588928,0.554621920377369,0.226749159288624,5.0027949002928,2.04532041748903,0.233860191,0.005820037,2.10946327206154,0.0524978374516903,corn,112N,Carbon,7.04811531778183,2.16196110951323,0,0,0
6a,6h,6,h,0,37.772,0.0349740740740741,41.89255076,6.1867001205828,0.722298314910062,1.9524446141628,4.08322922994103,11.0373771526563,0.648773434,2.246534384,3.66758525478198,12.699897914006,corn,112N,Nitrogen,15.1206063825974,16.367483168788,0,0,0
7a,7a,7,a,0,37.749,0.0349527777777778,37.49408555,4.0222555948575,0.490130999403257,0.402452846044086,4.25916242767986,3.49725286274641,0.2640357,0.25608164,2.29442931456149,2.22530976582705,corn,0N,Control,7.75641529042626,4.51973908038854,0,0,0
8a,8a,8,a,0,37.8,0.035,37.49408555,4.0897619824635,0.343951578528601,0.287554589488455,2.94352221476949,2.46087930673011,0.128245911,0.093120596,1.09752276642179,0.796921892759339,corn,0N,Carbon,5.4044015214996,1.89444465918113,0,0,0
9a,9a,9,a,0,37.775,0.0349768518518518,37.49408555,4.156643310925,0.386945525844676,1.499417445852,3.25602543201965,12.6171282798804,0.203684683,1.699450881,1.71394282570688,14.300346998263,corn,0N,Nitrogen,15.8731537119,16.0142898239698,0,0,0
10a,10a,10,a,0,37.971,0.0351583333333333,44.57222876,3.6177706288348,0.576118894035407,0.882408548472896,5.59885691886773,8.57545075857532,0.392281611,0.878825627,3.81228360088629,8.54063109741515,corn,112N,Control,14.174307677443,12.3529146983014,0,0,0
