Order,Sample.Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,Day,F1R2_log,F1R2_ave,log_012,ave_012,log_025,ave_025,log_039,ave_039,log_sum,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039,ave_sum,norB.001,norB.006,cnorB,norb_sum,log_norB.001,log_norB.006,log_cnorB,log_norb_sum
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,7.035100979,10800000,9.131285965,1.35e+09,7.836950955,68700000,8.501381785,3.17e+08,9.24027404,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,1735700000,1.63e+09,2.69e+09,1.22e+09,4.32e+09,21.2118458517651,21.7128070305602,20.9221166956916,22.1865212392024
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,6.992009383,9820000,9.209540434,1.62e+09,7.792192016,6.2e+07,8.601715664,4e+08,9.31842843,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,2.082e+09,1.72e+09,2.71e+09,1.3e+09,4.43e+09,21.2655901277718,21.720214471838,20.9856301014139,22.2116654210035
3,3b,1.290025726,4.072913701,Corn,0N,Nitrogen,5,5.092958633,124000,7.189938666,15500000,6.042093176,1100000,6.628291256,4250000,7.318831001,20800000,0,0,0,85543364.18,0,0,0,20850000,60100000,97200000,55500000,157300000,17.9115203995054,18.3922812694307,17.8318935787167,18.8736653680285
4,4b,0.722859243,0.157376882,Corn,112N,Control,5,6.809178219,6440000,8.513104154,3.26e+08,7.740506774,5.5e+07,8.022075389,1.05e+08,8.686768105,4.86e+08,0,0,0,1134617535,4556112.637,17923848.65,0,4.86e+08,4.51e+08,1.23e+09,4.11e+08,1.681e+09,19.926977897467,20.9302800063307,19.8341037724605,21.2426546913729
5,5b,0.54492466,0.037770452,Corn,112N,Carbon,5,7.212897105,16300000,9.11768133,1.31e+09,8.079405818,1.2e+08,8.53662941,3.44e+08,9.249285376,1.78e+09,19045916.69,35351901.93,18754200.03,1481214853,0,10751544.7,0,1.774e+09,1.45e+09,2.27e+09,1.13e+09,3.72e+09,21.0948293933789,21.5430456684397,20.8454834696707,22.0369895052315
6,6b,1.134332966,3.827405766,Corn,112N,Nitrogen,5,7.323188318,2.1e+07,9.198200385,1.58e+09,8.110460869,1.29e+08,8.604798691,4.03e+08,9.324247771,2.11e+09,9120592.488,0,24122510.01,1656947222,0,16270091.46,14480705.87,2.112e+09,1.75e+09,2.46e+09,1.52e+09,4.21e+09,21.2828816248818,21.6234271868907,21.1419761718046,22.1607284846407
7,7b,0.945277472,0.302163613,Corn,0N,Control,5,6.55542645,3590000,9.059855864,1.15e+09,7.510108875,32400000,8.480072528,3.02e+08,9.170902625,1.48e+09,0,0,14685652.06,973758466.6,0,0,0,1484400000,1.39e+09,1.42e+09,1.06e+09,2.81e+09,21.052569584089,21.0739227085596,20.7815347450704,21.7564503202921
8,8b,0.689496509,-0.069245828,Corn,0N,Carbon,5,6.703380767,5050000,9.095676427,1.25e+09,7.682336561,48100000,8.546699954,3.52e+08,9.216615333,1.65e+09,0,0,13465069.5,1780380722,0,12465578.52,8228799.333,1650100000,1.58e+09,2.01e+09,1.13e+09,3.59e+09,21.1806906839853,21.4214005590174,20.8454834696707,22.0014180394466
9,9b,0.667254686,3.676323959,Corn,0N,Nitrogen,5,6.980621687,9560000,9.380460191,2.4e+09,7.974519254,94300000,8.837528971,6.88e+08,9.502916256,3.18e+09,0,0,7087155.43,3740663530,6876092.241,9489222.476,11152043.85,3182300000,2.37e+09,3.3e+09,1.71e+09,5.67e+09,21.5861557920935,21.9171883054188,21.259759207461,22.4584549546861
10,10b,0.589408306,0.566556775,Corn,112N,Control,5,7.129821434,13500000,9.227357268,1.69e+09,7.974107626,94200000,8.777986348,6e+08,9.376928183,2.38e+09,0,21634976.97,25466701.84,3258254468,7816256.489,0,12182733.35,2384200000,2.12e+09,3.82e+09,1.75e+09,5.94e+09,21.4746819256303,22.0635162595649,21.2828816248818,22.504974970321
11,11b,0.656133774,0.151081807,Corn,112N,Carbon,5,7.08737806,12200000,9.179411978,1.51e+09,7.930427394,85200000,8.754642071,5.68e+08,9.335477001,2.17e+09,11470936.16,44244948.95,11112185.58,3524405538,6382269.619,19980912,14007340.31,2163200000,1.96e+09,3.71e+09,1.62e+09,5.67e+09,21.3962103101888,22.0342977135658,21.2056919861907,22.4584549546861
12,12b,0.93415656,3.764455013,Corn,112N,Nitrogen,5,7.062687508,11600000,9.12855671,1.34e+09,7.938071658,86700000,8.68632003,4.86e+08,9.282586781,1.92e+09,10803210.88,0,10308275.58,3153186739,10096017.32,0,9009412.433,1912700000,1.82e+09,3.3e+09,1.49e+09,5.12e+09,21.3221023380351,21.9171883054188,21.1220419569038,22.3564202759978
13,13b,0.811826534,15.68732758,Corn,336N,Control,5,6.895110134,7850000,8.671411402,4.69e+08,8.099117505,1.26e+08,8.538325218,3.45e+08,8.973265038,9.4e+08,28582873.72,23194998.87,13001410.11,2445234938,0,10674909.38,0,9.4e+08,1.11e+09,1.05e+09,9.68e+08,2.16e+09,20.8276258522707,20.7720560011158,20.6907426452408,21.4933740586425
14,14b,0.811826534,13.70437887,Corn,336N,Carbon,5,6.988617272,9740000,8.799538787,6.3e+08,8.150464062,1.41e+08,8.542865416,3.49e+08,9.049498882,1.12e+09,18236565.54,27446784.18,27485976.1,2101276573,11163330.28,12069649.69,7897965.012,1.12e+09,1.01e+09,8.96e+08,9.51e+08,1.906e+09,20.7332161677996,20.6134509709392,20.6730246205097,21.3682726421784
15,15b,1.078728409,18.10463648,Corn,336N,Nitrogen,5,6.871112724,7430000,8.74691829,5.58e+08,7.992054716,98200000,8.476731175,3e+08,8.980586417,9.56e+08,0,39610870.73,11509589.64,1718993754,6539455.062,24454633.57,10920235.89,956200000,9.97e+08,8.31e+08,8.01e+08,1.828e+09,20.7202613279261,20.5381403528197,20.5013715050326,21.3264883099784
16,16b,0.556045571,6.414681703,Corn,336N,Control,5,7.373228865,23600000,8.991494553,9.81e+08,8.401872366,2.52e+08,8.724238603,5.3e+08,9.246211533,1.76e+09,11387618.31,50272198.89,20727761.16,2732749052,9500619.315,37720519.36,18617284.38,1.763e+09,1.74e+09,1.94e+09,1.24e+09,3.68e+09,21.2771509501728,21.3859538100216,20.9383772165634,22.0261785891273
