Order,Sample.Name,NH4N.mgl,NO3N.mgl,Crop,Treatment,Addition,Day,sum_012025039,BM005,BM009,BM012,BM16S,BM016,BM025,BM039,name,value
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,log_012,9.131285965
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,ave_012,1.35e+09
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,log_025,7.836950955
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,ave_025,68700000
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,log_039,8.501381785
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,ave_039,3.17e+08
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,F1R2_log,7.035100979
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,F1R2_ave,10800000
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,ave_sum,1735700000
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,log_sum,9.24027404
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,norB.001,1.63e+09
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,log_norB.001,21.2118458517651
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,norB.006,2.69e+09
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,log_norB.006,21.7128070305602
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,norB.039,2.12e+08
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,log_norB.039,19.1720968326363
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,norB.sum,4.53e+09
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,log_norB.sum,22.2339877764414
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,cnorB,1.22e+09
1,1b,0.911914737,0.736523807,Corn,0N,Control,5,1.74e+09,0,16242783.24,19525994.99,2588758021,9890463.866,0,14270997.64,log_cnorB,20.9221166956916
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,log_012,9.209540434
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,ave_012,1.62e+09
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,log_025,7.792192016
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,ave_025,6.2e+07
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,log_039,8.601715664
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,ave_039,4e+08
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,F1R2_log,6.992009383
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,F1R2_ave,9820000
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,ave_sum,2.082e+09
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,log_sum,9.31842843
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,norB.001,1.72e+09
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,log_norB.001,21.2655901277718
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,norB.006,2.71e+09
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,log_norB.006,21.720214471838
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,norB.039,1.98e+08
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,log_norB.039,19.1037775886588
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,norB.sum,4.63e+09
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,log_norB.sum,22.2558227050446
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,cnorB,1.3e+09
2,2b,0.889672914,0.050360602,Corn,0N,Carbon,5,2.08e+09,7651103.497,24527723.28,20106900.38,2195678782,0,10990804.75,13018230.3,log_cnorB,20.9856301014139
3,3b,1.290025726,4.072913701,Corn,0N,Nitrogen,5,20800000,0,0,0,85543364.18,0,0,0,log_012,7.189938666
3,3b,1.290025726,4.072913701,Corn,0N,Nitrogen,5,20800000,0,0,0,85543364.18,0,0,0,ave_012,15500000
3,3b,1.290025726,4.072913701,Corn,0N,Nitrogen,5,20800000,0,0,0,85543364.18,0,0,0,log_025,6.042093176
