Original Order,Sample Name,Sample Order,Date Order,NH4N.mgl,NO3N.mgl,DNA_Sample,Plot #,Crop,Block #,Treatment,Addition,DNA_DOE,Extraction plate#,Extraction well#,Subsample weight (g) (from 5 mL tubes),,,,,norB.001,cnorB,norB.006
73,1b,1,b,0.911914737,0.736523807,1b,44,Corn,3.5,0N,Control,5,plate 3,C3,0.257,,Plate 2,A01,1b_Plate 2_A01,1.63E+09,1.22E+09,2.69E+09
74,2b,2,b,0.889672914,0.050360602,2b,44,Corn,3.5,0N,Carbon,5,plate 3,D3,0.253,,Plate 2,A02,2b_Plate 2_A02,1.72E+09,1.30E+09,2.71E+09
75,3b,3,b,1.290025726,4.072913701,3b,44,Corn,3.5,0N,Nitrogen,5,plate 3,E3,0.257,,Plate 2,A03,3b_Plate 2_A03,6.01E+07,5.55E+07,9.72E+07
76,4b,4,b,0.722859243,0.157376882,4b,41,Corn,3.5,100N,Control,5,plate 3,F3,0.255,,Plate 2,A04,4b_Plate 2_A04,4.51E+08,4.11E+08,1.23E+09
77,5b,5,b,0.54492466,0.037770452,5b,41,Corn,3.5,100N,Carbon,5,plate 3,G3,0.256,,Plate 2,A05,5b_Plate 2_A05,1.45E+09,1.13E+09,2.27E+09
78,6b,6,b,1.134332966,3.827405766,6b,41,Corn,3.5,100N,Nitrogen,5,plate 3,H3,0.251,,Plate 2,A06,6b_Plate 2_A06,1.75E+09,1.52E+09,2.46E+09
79,7b,7,b,0.945277472,0.302163613,7b,7,Corn,1,0N,Control,5,plate 3,A3,0.253,,Plate 2,A07,7b_Plate 2_A07,1.39E+09,1.06E+09,1.42E+09
80,8b,8,b,0.689496509,-0.069245828,8b,7,Corn,1,0N,Carbon,5,plate 3,B3,0.257,,Plate 2,A08,8b_Plate 2_A08,1.58E+09,1.13E+09,2.01E+09
81,9b,9,b,0.667254686,3.676323959,9b,7,Corn,1,0N,Nitrogen,5,plate 2,H12,0.25,,Plate 2,A09,9b_Plate 2_A09,2.37E+09,1.71E+09,3.30E+09
82,10b,10,b,0.589408306,0.566556775,10b,1,Corn,1,100N,Control,5,plate 2,G12,0.25,,Plate 2,A10,10b_Plate 2_A10,2.12E+09,1.75E+09,3.82E+09
83,11b,11,b,0.656133774,0.151081807,11b,1,Corn,1,100N,Carbon,5,plate 2,F12,0.25,,Plate 2,A11,11b_Plate 2_A11,1.96E+09,1.62E+09,3.71E+09
84,12b,12,b,0.93415656,3.764455013,12b,1,Corn,1,100N,Nitrogen,5,plate 2,E12,0.25,,Plate 2,A12,12b_Plate 2_A12,1.82E+09,1.49E+09,3.30E+09
85,13b,13,b,0.811826534,15.68732758,13b,37,Corn,3.5,300N,Control,5,plate 2,D12,0.25,,Plate 2,B01,13b_Plate 2_B01,1.11E+09,9.68E+08,1.05E+09
86,14b,14,b,0.811826534,13.70437887,14b,37,Corn,3.5,300N,Carbon,5,plate 2,C12,0.25,,Plate 2,B02,14b_Plate 2_B02,1.01E+09,9.51E+08,8.96E+08
87,15b,15,b,1.078728409,18.10463648,15b,37,Corn,3.5,300N,Nitrogen,5,plate 2,B12,0.25,,Plate 2,B03,15b_Plate 2_B03,9.97E+08,8.01E+08,8.31E+08
88,16b,16,b,0.556045571,6.414681703,16b,6,Corn,1,300N,Control,5,plate 2,A12,0.25,,Plate 2,B04,16b_Plate 2_B04,1.74E+09,1.24E+09,1.94E+09
89,17b,17,b,0.222418229,3.934422045,17b,6,Corn,1,300N,Carbon,5,plate 2,H11,0.25,,Plate 2,B05,17b_Plate 2_B05,1.67E+09,1.32E+09,2.18E+09
90,18b,18,b,1.1676957,7.396713445,18b,6,Corn,1,300N,Nitrogen,5,plate 3,A2,0.256,,Plate 2,B06,18b_Plate 2_B06,1.02E+09,7.06E+08,1.00E+09
91,19b,19,b,0.556045571,1.240129829,19b,10,Corn,1,100N,Control,5,plate 3,B2,0.256,,Plate 2,B07,19b_Plate 2_B07,1.23E+09,9.50E+08,1.55E+09
92,20b,20,b,0.54492466,0.201442409,20b,10,Corn,1,100N,Carbon,5,plate 3,C2,0.254,,Plate 2,B08,20b_Plate 2_B08,1.28E+09,9.48E+08,1.53E+09
93,21b,21,b,0.733980154,4.507273895,21b,10,Corn,1,100N,Nitrogen,5,plate 3,D2,0.258,,Plate 2,B09,21b_Plate 2_B09,1.33E+09,9.75E+08,1.49E+09
94,22b,22,b,0.511561926,0.963146517,22b,2,Corn,1,300N,Control,5,plate 3,E2,0.255,,Plate 2,B10,22b_Plate 2_B10,1.45E+09,1.01E+09,1.79E+09
95,23b,23,b,0.511561926,0.157376882,23b,2,Corn,1,300N,Carbon,5,plate 3,F2,0.252,,Plate 2,B11,23b_Plate 2_B11,5.12E+07,4.85E+07,7.86E+07
96,24b,24,b,0.300264609,4.387667465,24b,2,Corn,1,300N,Nitrogen,5,plate 3,G2,0.253,,Plate 2,B12,24b_Plate 2_B12,1.55E+09,1.15E+09,1.97E+09
97,25b,25,b,0.11005504,0.655923725,25b,42,Corn,3.5,300N,Control,5,plate 3,H2,0.256,,Plate 2,C01,25b_Plate 2_C01,1.73E+09,1.45E+09,1.99E+09
98,26b,26,b,0.132066048,-0.021505696,26b,42,Corn,3.5,300N,Carbon,5,plate 3,A1,0.256,,Plate 2,C02,26b_Plate 2_C02,1.51E+09,1.28E+09,1.93E+09
99,27b,27,b,0.124729045,4.231245666,27b,42,Corn,3.5,300N,Nitrogen,5,plate 3,B1,0.255,,Plate 2,C03,27b_Plate 2_C03,1.60E+09,1.32E+09,1.71E+09
100,28b,28,b,0.146740053,0.247315503,28b,4,Corn,1,0N,Control,5,plate 3,C1,0.257,,Plate 2,C04,28b_Plate 2_C04,1.89E+09,1.55E+09,1.86E+09
101,29b,29,b,0.11005504,-0.107528479,29b,4,Corn,1,0N,Carbon,5,plate 3,D1,0.257,,Plate 2,C05,29b_Plate 2_C05,1.79E+09,1.57E+09,1.83E+09
102,30b,30,b,0.146740053,4.440926201,30b,4,Corn,1,0N,Nitrogen,5,plate 3,E1,0.251,,Plate 2,C06,30b_Plate 2_C06,1.73E+09,1.58E+09,1.93E+09
103,31b,31,b,0.080707029,4.360279842,31b,36,Corn,3.5,100N,Control,5,plate 3,F1,0.254,,Plate 2,C07,31b_Plate 2_C07,1.41E+09,1.31E+09,1.33E+09
104,32b,32,b,0.036685013,3.161337296,32b,36,Corn,3.5,100N,Carbon,5,plate 3,G1,0.258,,Plate 2,C08,32b_Plate 2_C08,1.37E+09,1.27E+09,1.76E+09
105,33b,33,b,0.058696021,9.145297177,33b,36,Corn,3.5,100N,Nitrogen,5,plate 3,H1,0.259,,Plate 2,C09,33b_Plate 2_C09,1.22E+09,1.18E+09,1.51E+09
106,34b,34,b,0.146740053,0.500007429,34b,39,Corn,3.5,0N,Control,5,plate 2,G11,0.25,,Plate 2,C10,34b_Plate 2_C10,2.34E+09,2.16E+09,3.39E+09
107,35b,35,b,0.161414058,0.043011392,35b,39,Corn,3.5,0N,Carbon,5,plate 2,F11,0.25,,Plate 2,C11,35b_Plate 2_C11,2.33E+09,2.24E+09,3.50E+09
108,36b,36,b,0.13940305,4.779640911,36b,39,Corn,3.5,0N,Nitrogen,5,plate 2,E11,0.25,,Plate 2,C12,36b_Plate 2_C12,2.73E+09,2.16E+09,3.39E+09
