term,df,SumOfSqs,R2,statistic,p.value,primers,qpcr_values
Treatment,2,0.538,0.028,3.682,0.001,all,ave
Addition,2,0.085,0.004,0.58,0.758,all,ave
Crop,1,0.546,0.028,7.473,0.001,all,ave
Day,2,2.331,0.121,15.959,0.001,all,ave
Treatment:Addition,4,0.183,0.009,0.626,0.828,all,ave
Treatment:Crop,2,0.399,0.021,2.73,0.015,all,ave
Addition:Crop,2,0.098,0.005,0.668,0.692,all,ave
Treatment:Day,4,0.278,0.014,0.952,0.473,all,ave
Addition:Day,4,0.077,0.004,0.265,1,all,ave
Crop:Day,2,1.351,0.07,9.249,0.001,all,ave
Treatment:Addition:Crop,4,0.114,0.006,0.392,0.976,all,ave
Treatment:Addition:Day,8,0.255,0.013,0.437,0.997,all,ave
Treatment:Crop:Day,4,0.585,0.03,2.001,0.03,all,ave
Addition:Crop:Day,4,0.109,0.006,0.374,0.985,all,ave
Treatment:Addition:Crop:Day,8,0.515,0.027,0.882,0.615,all,ave
Residual,162,11.833,0.613,NA,NA,all,ave
Treatment,2,0.499,0.026,3.43,0.004,mfp,ave
Addition,2,0.085,0.004,0.581,0.775,mfp,ave
Crop,1,0.544,0.028,7.475,0.001,mfp,ave
Day,2,2.337,0.121,16.054,0.001,mfp,ave
Treatment:Addition,4,0.182,0.009,0.625,0.851,mfp,ave
Treatment:Crop,2,0.399,0.021,2.738,0.014,mfp,ave
Addition:Crop,2,0.097,0.005,0.668,0.676,mfp,ave
Treatment:Day,4,0.278,0.014,0.954,0.492,mfp,ave
Addition:Day,4,0.078,0.004,0.267,0.996,mfp,ave
Crop:Day,2,1.359,0.071,9.338,0.001,mfp,ave
Treatment:Addition:Crop,4,0.114,0.006,0.392,0.981,mfp,ave
Treatment:Addition:Day,8,0.256,0.013,0.439,0.993,mfp,ave
Treatment:Crop:Day,4,0.593,0.031,2.038,0.019,mfp,ave
Addition:Crop:Day,4,0.11,0.006,0.379,0.977,mfp,ave
Treatment:Addition:Crop:Day,8,0.516,0.027,0.886,0.629,mfp,ave
Residual,162,11.79,0.613,NA,NA,mfp,ave
Treatment,2,0.009,0.056,6.566,0.001,all,log
Addition,2,0.001,0.003,0.382,0.728,all,log
Crop,1,0.002,0.011,2.591,0.108,all,log
Day,2,0.017,0.1,11.712,0.001,all,log
Treatment:Addition,4,0.002,0.013,0.763,0.559,all,log
Treatment:Crop,2,0,0,0.028,0.984,all,log
Addition:Crop,2,0.001,0.006,0.711,0.512,all,log
Treatment:Day,4,0.001,0.004,0.205,0.967,all,log
Addition:Day,4,0.001,0.005,0.275,0.925,all,log
Crop:Day,2,0.003,0.018,2.054,0.133,all,log
Treatment:Addition:Crop,4,0.001,0.007,0.415,0.842,all,log
Treatment:Addition:Day,8,0.003,0.018,0.521,0.87,all,log
Treatment:Crop:Day,4,0.003,0.018,1.056,0.365,all,log
Addition:Crop:Day,4,0.001,0.004,0.224,0.948,all,log
Treatment:Addition:Crop:Day,8,0.008,0.047,1.384,0.188,all,log
Residual,162,0.114,0.691,NA,NA,all,log
Treatment,2,0.006,0.045,5.232,0.004,mfp,log
Addition,2,0,0.003,0.392,0.701,mfp,log
Crop,1,0.002,0.011,2.61,0.114,mfp,log
Day,2,0.014,0.1,11.679,0.001,mfp,log
Treatment:Addition,4,0.002,0.014,0.826,0.535,mfp,log
Treatment:Crop,2,0,0,-0.016,0.998,mfp,log
Addition:Crop,2,0.001,0.007,0.766,0.468,mfp,log
Treatment:Day,4,0,0.003,0.15,0.991,mfp,log
Addition:Day,4,0.001,0.005,0.313,0.905,mfp,log
Crop:Day,2,0.003,0.021,2.474,0.082,mfp,log
Treatment:Addition:Crop,4,0.001,0.006,0.361,0.883,mfp,log
Treatment:Addition:Day,8,0.003,0.019,0.563,0.848,mfp,log
Treatment:Crop:Day,4,0.003,0.024,1.417,0.217,mfp,log
Addition:Crop:Day,4,0.001,0.005,0.279,0.932,mfp,log
Treatment:Addition:Crop:Day,8,0.007,0.047,1.366,0.186,mfp,log
Residual,162,0.097,0.691,NA,NA,mfp,log
