factor,level,Day,Addition,mean_n,sd,se,pe_mean_n,pe_sd,pe_se,pe_perc_diff,var
Treatment,0N,5,Carbon,145.046,30.049,10.624,18.008,4.415,1.561,14.175,cum_CO2_flux_ug_g
Treatment,0N,5,Control,127.038,25.634,9.063,0,0,0,0,cum_CO2_flux_ug_g
Treatment,0N,5,Nitrogen,122.73,33.738,11.928,-4.308,8.104,2.865,-3.391,cum_CO2_flux_ug_g
Treatment,0N,10,Carbon,281.948,61.423,21.716,24.961,7.315,2.586,9.713,cum_CO2_flux_ug_g
Treatment,0N,10,Control,256.986,54.108,19.13,0,0,0,0,cum_CO2_flux_ug_g
Treatment,0N,10,Nitrogen,243.338,61.299,21.673,-13.648,7.192,2.543,-5.311,cum_CO2_flux_ug_g
Treatment,0N,16,Carbon,451.276,104.309,36.879,50.968,16.859,5.961,12.732,cum_CO2_flux_ug_g
Treatment,0N,16,Control,400.308,87.45,30.918,0,0,0,0,cum_CO2_flux_ug_g
Treatment,0N,16,Nitrogen,380.68,96.132,33.988,-19.628,8.682,3.069,-4.903,cum_CO2_flux_ug_g
Treatment,0N,24,Carbon,717.82,175.501,62.049,78.931,9.92,3.507,12.354,cum_CO2_flux_ug_g
Treatment,0N,24,Control,638.889,165.581,58.542,0,0,0,0,cum_CO2_flux_ug_g
Treatment,0N,24,Nitrogen,595.696,172.524,60.996,-43.192,6.943,2.455,-6.761,cum_CO2_flux_ug_g
Treatment,0N,31,Carbon,952.315,238.291,84.249,100.038,3.065,1.084,11.738,cum_CO2_flux_ug_g
Treatment,0N,31,Control,852.277,235.226,83.165,0,0,0,0,cum_CO2_flux_ug_g
Treatment,0N,31,Nitrogen,790.845,248.912,88.004,-61.432,13.687,4.839,-7.208,cum_CO2_flux_ug_g
Treatment,0N,38,Carbon,1154.316,282.552,99.897,133.457,1.983,0.701,13.073,cum_CO2_flux_ug_g
Treatment,0N,38,Control,1020.858,280.569,99.196,0,0,0,0,cum_CO2_flux_ug_g
Treatment,0N,38,Nitrogen,951.402,302.837,107.069,-69.456,22.268,7.873,-6.804,cum_CO2_flux_ug_g
Treatment,0N,47,Carbon,1403.288,366.446,129.558,169.165,27.061,9.568,13.707,cum_CO2_flux_ug_g
Treatment,0N,47,Control,1234.123,339.385,119.991,0,0,0,0,cum_CO2_flux_ug_g
Treatment,0N,47,Nitrogen,1178.589,390.271,137.982,-55.534,50.886,17.991,-4.5,cum_CO2_flux_ug_g
Treatment,0N,54,Carbon,1618.144,463.291,163.798,202.817,62.308,22.029,14.33,cum_CO2_flux_ug_g
Treatment,0N,54,Control,1415.327,400.982,141.769,0,0,0,0,cum_CO2_flux_ug_g
Treatment,0N,54,Nitrogen,1374.618,484.109,171.158,-40.709,83.126,29.39,-2.876,cum_CO2_flux_ug_g
Treatment,0N,60,Carbon,1762.729,525.135,185.663,225.934,78.456,27.738,14.702,cum_CO2_flux_ug_g
Treatment,0N,60,Control,1536.794,446.678,157.925,0,0,0,0,cum_CO2_flux_ug_g
Treatment,0N,60,Nitrogen,1510.027,545.492,192.861,-26.767,98.814,34.936,-1.742,cum_CO2_flux_ug_g
Treatment,0N,67,Carbon,1897.323,581.56,205.612,242.55,91.577,32.377,14.658,cum_CO2_flux_ug_g
Treatment,0N,67,Control,1654.773,489.983,173.235,0,0,0,0,cum_CO2_flux_ug_g
