term,log_012,ave_012,log_025,ave_025,log_039,ave_039,F1R2_log,F1R2_ave,ave_sum,log_sum,norB.001,log_norB.001,norB.006,log_norB.006,cnorB,log_cnorB,norb_sum,log_norb_sum
Crop,0.008,0,0.009,0.004,0.009,0,0.221,0.014,0.238,0.422,0,0,0.85,0.957,0,0.001,0.027,0.036
Addition,0.646,0.877,0.72,0.698,0.862,0.937,0.702,0.642,0.941,0.706,0.921,0.772,0.751,0.984,0.891,0.859,0.838,0.935
Treatment,0.403,0.14,0,0,0.484,0.482,0,0,0.68,0.649,0.669,0.603,0.01,0.013,0.152,0.259,0.047,0.11
Day,0,0,0.793,0.022,0,0,0,0.045,0,0,0.53,0.036,0,0,0.013,0.001,0,0
Crop:Addition,0.358,0.807,0.703,0.962,0.58,0.614,0.685,0.974,0.743,0.417,0.756,0.726,0.74,0.732,0.613,0.59,0.734,0.728
Crop:Treatment,0.645,0.033,0.909,0.109,0.895,0.11,0.516,0.029,0.035,0.68,0.012,0.481,0.266,0.879,0.024,0.586,0.095,0.618
Addition:Treatment,0.443,0.949,0.758,0.871,0.542,0.898,0.77,0.988,0.923,0.48,0.637,0.705,0.916,0.785,0.929,0.733,0.855,0.707
Crop:Day,0.098,0,0,0,0.105,0,0.559,0.627,0,0.302,0,0,0.012,0.028,0,0,0,0
Addition:Day,0.797,0.987,0.967,0.99,0.911,0.89,0.955,0.993,0.974,0.842,0.851,0.855,0.954,0.928,0.967,0.882,0.938,0.873
Treatment:Day,0.69,0.281,0.699,0.257,0.618,0.13,0.772,0.53,0.224,0.68,0.048,0.587,0.072,0.491,0.446,0.719,0.052,0.525
Crop:Addition:Treatment,0.912,0.997,0.79,0.988,0.772,0.964,0.728,0.996,0.996,0.878,0.843,0.543,0.976,0.672,0.98,0.737,0.947,0.586
Crop:Addition:Day,0.753,0.932,0.972,0.912,0.916,0.876,0.975,0.967,0.926,0.834,0.672,0.924,0.942,0.971,0.965,0.984,0.88,0.945
Crop:Treatment:Day,0.054,0.002,0.803,0.076,0.401,0.318,0.784,0.906,0.029,0.158,0.005,0.283,0.187,0.314,0.015,0.27,0.068,0.325
Addition:Treatment:Day,0.856,0.999,0.895,0.999,0.831,0.947,0.965,1,0.996,0.86,0.923,0.696,0.99,0.933,0.997,0.854,0.984,0.808
Crop:Addition:Treatment:Day,0.277,0.901,0.274,0.843,0.191,0.775,0.283,0.826,0.823,0.245,0.881,0.218,0.984,0.379,0.803,0.141,0.973,0.271
